United Kingdom,GBR,43632,80230,98577,121716,186248,260687,276522,303181,301556,299718,292097,238150,193510,149799,126055
Georgia,GEO,,,95,20,7620,4192,3864,2497,1373,1047,996,639,462,469,847
Ghana,GHA,8123,150100,35617,14557,12720,33515,43947,53537,44938,34958,18206,13828,13588,16016,18681
Guinea,GIN,325000,577158,663854,482467,427206,182163,184341,63525,31468,25226,21488,14113,16609,10371,8560
"Gambia, The",GMB,78,2190,6924,10320,12016,12120,7465,7330,13761,14895,14836,8378,9528,9853,9563
Guinea-Bissau,GNB,3004,20735,15401,6604,7587,7639,7551,7616,7804,7860,7884,7679,7800,7784,8535
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,
Greece,GRC,8488,7873,5780,6145,6653,2788,2771,2390,2289,2228,2164,1444,1573,2100,3485
Guatemala,GTM,223377,4689,1564,815,720,733,715,391,382,379,130,138,147,159,160
Guam,GUM,,,,,,,,,,,,,,,
High income,HIC,2164245,3444321,3507086,2759334,2557200,2880500,2786672,2426394,2806626,2410613,2442832,2173117,2144301,2153538,1800706
"Hong Kong SAR, China",HKG,8161,1848,1348,1039,983,1496,1902,1934,1940,97,103,154,152,117,126
Honduras,HND,237100,65,63,9,12,29,23,22,22,22,24,14,17,16,16
Croatia,HRV,,287000,165395,29027,22437,8392,4387,2927,2443,1642,1597,936,824,724,684
Hungary,HUN,45123,3023,7537,3504,5064,6088,7023,8046,8075,8131,7750,5414,5106,4054,2440
Indonesia,IDN,3278,2402,61,47,122618,28596,233,89,301,315,369,811,1006,1819,3206
India,IND,212743,262798,233370,185516,170941,168855,164757,139283,158366,161537,184543,184821,185118,185656,188395
Ireland,IRL,360,119,69,600,2543,5380,5971,7113,7917,9333,9730,9107,8248,6327,6001
"Iran, Islamic Rep.",IRN,4174401,2495038,2030359,1931332,1868000,1306599,984896,974302,968370,963546,980109,1073366,886468,868242,857354
Iraq,IRQ,900,109066,112957,104022,127787,134190,46721,50177,44406,42354,39503,34655,35189,98822,246298
Iceland,ISL,85,160,232,294,244,207,239,293,267,49,49,83,58,60,79
Israel,ISR,,,,27,4075,4179,4179,609,837,1156,9137,25471,41235,48505,48325
Italy,ITA,10840,50276,64711,5473,6849,10060,12841,20675,26875,38068,47061,56397,58060,64779,78061
Jamaica,JAM,,63,25,37,38,,,,,,,21,20,20,21
Jordan,JOR,929737,1145025,1359580,1488226,1610638,1699470,1741366,1828842,2358591,2403771,2452016,2450381,2430589,2337348,2712888
Japan,JPN,6819,6495,5278,4492,3752,2657,2266,1941,1844,1794,2019,2586,2649,2581,2584
Kazakhstan,KAZ,,5000,15577,8338,20574,20610,15831,7265,4412,4285,4352,4406,616,564,584
Kenya,KEN,14249,301595,223640,238187,206106,233671,237512,251271,272531,265729,320605,402905,566487,564933,534938
Kyrgyz Republic,KGZ,,21242,16707,14560,10609,7708,5591,2598,366,723,375,2458,6095,4941,466
Cambodia,KHM,,5,16,21,34,200,76,127,99,179,164,129,64,77,68
"Korea, Rep.",KOR,230,,6,1,6,17,25,69,96,118,172,358,401,487,547
Kuwait,KWT,,30000,3831,4182,2776,1521,1518,1523,50,38159,38238,184,335,674,635
Lebanon,LBN,304599,329705,355076,371294,382744,392053,397054,405248,428602,464299,472607,463436,445144,575483,447328
Liberia,LBR,,150153,120061,96317,69315,64956,33997,10168,16185,10466,10224,24743,128293,65909,53253
Libya,LBY,,1185,7747,10558,11543,11666,11897,12166,2760,4098,6713,7923,10130,7065,25561
Liechtenstein,LIE,,,,,70,128,149,150,277,283,89,92,94,102,97
Sri Lanka,LKA,,19,14,29,16,28,30,106,162,182,269,223,188,110,145
Lesotho,LSO,214,60,,,,,,,,,,,34,34,30
Lithuania,LTU,,,,34,55,368,403,531,531,688,751,803,821,871,916
Luxembourg,LUX,687,225,700,700,759,1201,1201,1822,2206,2737,3109,3254,2855,2910,2873
Latvia,LVA,,,,2,7,7,17,11,21,29,32,68,95,125,160
"Macao SAR, China",MAC,205,10,,,,,,,,,,,1,,
Morocco,MAR,311,336,51,901,2105,2127,2121,219,503,786,766,792,736,744,1470
Moldova,MDA,,,,,68,173,102,84,161,151,148,148,146,185,250
Maldives,MDV,,,,,,,,,,,,,,,
Mexico,MEX,356400,52477,34569,28251,18451,12962,6075,3229,3319,1616,1055,1395,1677,1520,1831
"Macedonia, FYR",MKD,,31452,5089,1700,9050,2816,193,1274,1240,1235,1672,1398,1130,1077,982
Mali,MLI,13411,15224,18234,13598,8412,9095,10009,11233,10585,9203,9578,13558,15624,13928,14316
Malta,MLT,,505,367,296,190,307,895,1939,2404,3000,4332,6136,6952,8248,9906
Montenegro,MNE,,,,,,,,,6926,8528,24741,16364,12874,11198,8476
Mozambique,MOZ,420,202,198,52,207,207,311,1954,2558,2767,3163,4077,4079,4398,4445
Mauritania,MRT,60000,51548,15880,26,350,405,475,632,770,30471,27041,26717,26535,80496,92767
Malawi,MWI,926725,713607,1268,1245,3900,2166,3202,4240,3943,2929,4175,5740,6308,6544,5796
Malaysia,MYS,14862,154,5309,50614,50487,50612,7424,33693,37170,32658,36671,81516,86680,90185,97513
Namibia,NAM,,585,2204,3820,27263,21651,19800,5307,5462,6525,6799,7254,6049,1806,2332
Niger,NER,792,16692,25845,3691,58,296,328,301,317,319,320,314,302,50510,57661
